,Area,Room,Parking,Warehouse,Elevator,Address,Price
137,40,0,0,0,0,Pakdasht,165000000
138,88,2,1,1,1,Railway,2860000000
139,141,3,1,1,1,Persian Gulf Martyrs Lake,3810000000
140,140,3,1,1,1,Persian Gulf Martyrs Lake,1790000000
141,120,2,1,1,1,Persian Gulf Martyrs Lake,1530000000
142,66,2,0,1,0,Beryanak,1000000000
143,70,2,1,1,1,Punak,3500000000
144,75,2,1,0,1,Heshmatieh,3000000000
145,70,2,0,1,1,Elm-o-Sanat,1800000000
147,95,2,1,1,1,Golestan,950000000
148,127,2,1,1,1,Southern Janatabad,6000000000
149,123,3,1,1,1,Shahr-e-Ziba,3700000000
150,63,2,1,1,1,Southern Janatabad,2000000000
151,90,2,1,1,1,Punak,3050000000
152,105,2,1,1,1,Pardis,605000000
153,180,3,1,1,1,Pasdaran,9900000000
154,120,3,1,0,1,Pirouzi,3700000000
155,65,2,1,1,1,Feiz Garden,2500000000
156,158,3,1,1,1,Farmanieh,10480000000
157,144,3,1,1,1,Chardivari,7632000000
158,144,3,1,1,1,Punak,7632000000
159,130,3,1,1,1,Gheitarieh,12300000000
162,63,2,1,1,1,Central Janatabad,3000000000
163,75,2,1,1,1,East Ferdows Boulevard,2100000000
164,88,2,1,0,1,Gholhak,4700000000
165,108,2,1,1,1,Pasdaran,9180000000
166,117,2,1,1,1,Islamshahr,1579500000
167,200,3,1,1,1,Pasdaran,12000000000
168,65,1,1,1,0,Pirouzi,1750000000
169,90,2,1,1,1,Central Janatabad,3780000000
170,125,2,1,1,1,Heravi,8100000000
171,140,3,1,1,1,Heravi,9100000000
172,71,2,0,1,1,Hashemi,1550000000
173,71,2,0,1,1,Jeyhoon,1640000000
175,67,2,1,1,1,Central Janatabad,2750000000
176,60,1,1,1,1,Punak,1750000000
178,44,1,1,1,0,Andisheh,350000000
179,68,1,1,1,1,Heravi,4115000000
180,100,2,1,1,1,Pasdaran,8000000000
181,86,2,1,1,1,Pardis,580000000
182,84,2,1,1,1,Pardis,560000000
183,94,2,1,1,1,Heravi,4800000000
184,55,1,0,1,0,West Ferdows Boulevard,1550000000
185,113,2,1,1,1,Saadat Abad,7500000000
186,71,2,1,1,1,Islamshahr,630000000
187,70,2,1,1,0,Dehkade Olampic,2000000000
188,200,3,1,1,1,Golestan,2400000000
189,106,2,1,1,1,Golestan,1100000000
191,114,2,1,1,1,West Pars,3820000000
192,100,2,1,1,1,Punak,6000000000
193,122,2,1,1,1,Saadat Abad,5800000000
194,200,2,1,1,0,Damavand,3500000000
195,154,3,1,1,1,Saadat Abad,12300000000
197,200,3,1,1,1,East Ferdows Boulevard,11000000000
198,65,1,1,1,1,Southern Janatabad,3000000000
199,124,3,1,1,1,Pirouzi,3968000000
200,83,2,1,1,1,Republic,1909000000
202,104,2,1,1,1,East Ferdows Boulevard,5700000000
203,150,3,1,1,1,Zaferanieh,10490000000
204,103,3,1,1,1,West Ferdows Boulevard,3200000000
205,48,1,1,1,1,West Ferdows Boulevard,1920000000
206,165,3,1,1,1,Gheitarieh,12300000000
207,135,2,1,1,0,Gheitarieh,7400000000
208,86,2,1,1,1,Saadat Abad,6200000000
209,75,2,1,1,1,East Ferdows Boulevard,2350000000
210,58,1,1,1,1,East Ferdows Boulevard,1850000000
212,82,2,1,1,1,Qazvin Imamzadeh Hassan,1886000000
213,58,2,1,1,1,Shahran,2200000000
214,101,2,1,1,1,Beryanak,2323000000
215,90,2,1,1,1,Niavaran,6800000000
217,132,3,1,1,1,Gheitarieh,6250000000
218,81,2,1,1,1,Valiasr,1863000000
219,153,3,1,1,1,Pasdaran,13000000000
220,166,3,1,1,1,Qalandari,12500000000
222,113,2,1,1,1,Pasdaran,8500000000
223,100,2,1,1,1,Valiasr,2300000000
224,80,2,1,1,1,Central Janatabad,3350000000
225,76,2,1,1,1,Jeyhoon,2000000000
226,128,3,1,1,1,Punak,5700000000
228,140,2,1,1,1,Shahrake Gharb,12600000000
229,74,2,1,1,1,Amir Bahador,1702000000
230,75,1,1,1,1,Central Janatabad,3000000000
231,120,2,1,1,1,Pasdaran,7500000000
233,85,2,1,1,1,Ekhtiarieh,5000000000
234,105,2,1,1,1,Pardis,700000000
237,58,1,1,1,1,Ekbatan,2810000000
238,75,2,1,1,1,Parand,395000000
240,62,1,1,1,1,Shahran,1850000000
241,93,2,1,1,1,Rudhen,1450000000
242,75,2,1,1,1,Islamshahr,715000000
243,86,2,1,1,0,Islamshahr,1200000000
244,120,2,1,1,1,Southern Program Organization,4260000000
245,95,2,1,1,1,Andisheh,1500000000
246,70,2,1,1,0,West Ferdows Boulevard,2120000000
247,75,2,1,1,0,East Ferdows Boulevard,2000000000
248,81,2,1,0,1,Pardis,590000000
249,65,1,1,1,0,West Ferdows Boulevard,1930000000
250,75,2,1,1,1,East Ferdows Boulevard,2730000000
251,106,2,1,1,0,East Ferdows Boulevard,3150000000
252,115,2,1,1,1,East Ferdows Boulevard,4600000000
253,100,2,1,1,1,Shahr-e-Ziba,3000000000
254,118,2,1,1,1,East Ferdows Boulevard,4500000000
255,116,2,1,1,1,East Ferdows Boulevard,5100000000
256,76,2,1,1,1,Shahr-e-Ziba,2200000000
257,74,2,1,1,0,East Ferdows Boulevard,2300000000
258,96,2,1,1,1,Saadat Abad,4500000000
259,87,2,1,1,1,Pardis,625000000
260,43,1,1,1,0,Northern Janatabad,1620000000
262,53,1,1,1,1,East Ferdows Boulevard,1920000000
264,78,2,1,1,1,Shahr-e-Ziba,2250000000
266,55,1,1,1,1,West Ferdows Boulevard,1850000000
267,120,2,1,1,0,Saadat Abad,11700000000
268,78,2,1,1,1,Southern Janatabad,3600000000
269,95,2,1,1,1,Southern Janatabad,4400000000
272,115,3,1,1,1,Punak,4500000000
273,113,2,1,1,1,Punak,4300000000
274,85,2,1,1,1,Punak,3380000000
275,140,3,1,1,1,Saadat Abad,10000000000
276,90,2,1,1,1,Saadat Abad,6500000000
277,63,1,1,0,0,Punak,2200000000
278,75,2,1,1,1,Central Janatabad,3220000000
279,130,3,1,1,1,Punak,6240000000
280,91,2,1,1,1,Punak,3350000000
281,121,3,1,1,1,Persian Gulf Martyrs Lake,3650000000
283,126,2,1,1,1,East Ferdows Boulevard,5500000000
286,110,1,1,1,1,Pasdaran,6600000000
287,145,3,1,1,1,Haft Tir,4700000000
288,81,2,1,1,1,Shahrake Qods,810000000
289,64,2,1,1,1,Shahr-e-Ziba,2200000000
290,112,2,1,1,1,Shahr-e-Ziba,3680000000
291,192,3,1,1,1,Marzdaran,12670000000
292,164,3,1,1,1,Marzdaran,10000000000
293,135,3,1,1,1,Pasdaran,8100000000
294,170,3,1,1,1,Mahallati,9200000000
295,130,3,1,1,1,Mahallati,5200000000
296,84,2,1,1,1,Shahran,3400000000
297,82,2,1,1,1,Shahran,3550000000
299,60,1,1,1,1,Southern Janatabad,1950000000
301,65,1,0,1,1,Southern Janatabad,2000000000
302,60,1,1,1,0,Southern Janatabad,2280000000
304,70,2,1,1,1,Southern Janatabad,1950000000
305,92,2,1,1,1,Feiz Garden,3900000000
306,98,2,1,1,1,Pasdaran,7800000000
307,62,1,1,1,1,Southern Janatabad,2280000000
308,65,1,1,1,1,Punak,2900000000
309,90,2,1,1,1,Ozgol,5000000000
310,59,2,1,1,1,Southern Janatabad,1900000000
312,60,2,1,1,1,Southern Janatabad,2200000000
313,70,2,1,1,1,Southern Janatabad,2500000000
314,60,1,1,1,1,Southern Janatabad,2200000000
315,165,3,1,1,1,Pasdaran,10500000000
317,65,1,1,1,1,Southern Janatabad,2000000000
318,60,1,1,1,1,Southern Janatabad,2250000000
320,86,2,1,1,1,Southern Janatabad,3600000000
321,109,2,1,1,1,Heravi,6000000000
322,98,2,1,1,0,Narmak,2842000000
323,80,2,1,1,1,Central Janatabad,3120000000
324,143,3,1,1,1,Gheitarieh,8860000000
325,95,2,1,1,1,Saadat Abad,4550000000
326,86,2,1,1,1,Punak,3700000000
327,160,3,1,1,1,Gheitarieh,10000000000
329,74,1,1,1,1,Punak,3250000000
331,87,2,1,1,1,Northern Janatabad,3550000000
332,82,2,1,1,1,West Ferdows Boulevard,3450000000
333,55,1,1,1,1,Shahr-e-Ziba,2490000000
334,148,3,1,1,1,Ekhtiarieh,8400000000
335,55,1,1,0,1,Shahr-e-Ziba,2020000000
336,100,2,1,1,0,Southern Janatabad,3800000000
338,130,3,1,1,1,Central Janatabad,5300000000
342,100,2,1,1,1,Gheitarieh,8000000000
351,170,2,1,1,1,Farmanieh,12400000000
353,80,2,1,1,1,North Program Organization,3100000000
355,110,2,1,1,1,Tajrish,6600000000
357,200,3,1,1,1,Saadat Abad,12000000000
358,101,3,1,1,1,Ekhtiarieh,6500000000
359,104,2,1,1,1,Feiz Garden,3850000000
360,70,2,1,1,1,Northern Janatabad,3200000000
361,76,2,1,1,0,Shahr-e-Ziba,2570000000
362,110,2,1,1,1,Feiz Garden,4300000000
366,90,2,1,1,1,Feiz Garden,3850000000
367,77,2,1,1,1,Shahr-e-Ziba,2570000000
368,96,2,1,1,1,Pasdaran,5600000000
369,75,1,1,1,1,Central Janatabad,3250000000
370,79,2,1,1,1,Abazar,3000000000
371,67,1,1,1,1,Saadat Abad,3400000000
372,125,2,1,1,1,Shahr-e-Ziba,6400000000
373,75,2,1,1,0,Shahr-e-Ziba,1890000000
375,91,2,1,1,1,Saadat Abad,5400000000
376,105,2,1,1,1,Parand,1417500000
377,66,2,1,1,1,Ostad Moein,1585000000
378,86,2,1,1,1,Southern Janatabad,3270000000
379,72,2,1,1,0,Northern Janatabad,2380000000
380,148,2,1,0,1,Koohsar,4500000000
381,84,2,1,1,1,Saadat Abad,4600000000
382,128,2,1,1,1,Niavaran,12800000000
383,65,1,1,1,1,West Ferdows Boulevard,3900000000
384,140,3,1,1,1,Pasdaran,11800000000
385,115,2,1,1,1,Ekhtiarieh,7400000000
386,105,2,1,1,1,Saadat Abad,5700000000
387,87,2,1,1,1,Pardis,650000000
389,60,1,1,1,1,Persian Gulf Martyrs Lake,875000000
390,68,1,1,1,1,Southern Program Organization,2630000000
392,103,2,1,1,1,Hekmat,9270000000
393,55,1,1,1,1,West Ferdows Boulevard,2200000000
394,140,3,1,1,1,Punak,7700000000
396,82,2,1,1,1,Punak,4018000000
397,167,3,1,1,1,Punak,10688000000
398,53,1,0,1,0,West Ferdows Boulevard,1640000000
399,51,1,0,1,0,West Ferdows Boulevard,1550000000
400,54,1,1,1,0,West Ferdows Boulevard,2130000000
401,82,2,1,1,1,Sattarkhan,4100000000
402,75,2,1,1,1,West Ferdows Boulevard,2800000000
403,98,2,1,1,1,West Ferdows Boulevard,4520000000
405,70,1,1,1,1,Niavaran,5600000000
407,64,1,1,1,1,Ekbatan,3700000000
408,85,2,1,1,1,Jeyhoon,2100000000
409,48,1,0,1,0,Parastar,980000000
415,84,2,1,1,1,Pardis,680000000
417,108,2,1,1,1,Gisha,5180000000
418,62,1,1,1,1,Shahr-e-Ziba,2580000000
419,70,2,1,1,1,Southern Janatabad,3370000000
421,135,3,1,1,1,Abazar,6480000000
423,108,2,1,1,1,Farmanieh,6200000000
424,91,2,1,1,1,Ekhtiarieh,5180000000
425,120,2,1,1,1,Gheitarieh,8900000000
426,112,2,1,1,0,Gheitarieh,7500000000
429,69,2,1,1,1,Pirouzi,1800000000
432,66,1,1,0,1,Pirouzi,1850000000
433,80,2,1,1,1,Ostad Moein,2150000000
434,44,1,1,1,0,Pirouzi,880000000
435,180,3,1,1,1,East Ferdows Boulevard,9360000000
436,164,3,1,1,1,East Ferdows Boulevard,9840000000
438,100,2,1,1,1,Shahr-e-Ziba,3400000000
441,126,3,1,1,1,Ostad Moein,3000000000
442,85,2,1,1,1,Majidieh,2500000000
444,57,1,0,1,1,Parastar,1270000000
445,61,1,0,1,0,Shahr-e-Ziba,1990000000
446,79,2,1,1,1,Jeyhoon,1817000000
447,68,1,1,1,1,Pirouzi,2450000000
448,105,2,1,1,1,Pardis,1000000000
449,105,2,1,1,1,Saadat Abad,7700000000
450,160,2,1,1,1,Pardis,1930000000
451,100,2,1,1,1,Pardis,585000000
452,125,3,1,1,1,Saadat Abad,12500000000
453,94,2,1,0,1,Pardis,990000000
454,80,2,0,1,0,Northern Janatabad,2200000000
455,75,2,1,0,1,Parastar,2300000000
456,99,3,1,1,1,North Program Organization,4190000000
457,90,2,1,1,1,Shahr-e-Ziba,4099000000
458,129,3,1,1,1,Shahr-e-Ziba,4500000000
460,102,2,1,1,0,Parastar,2030000000
461,141,3,1,1,1,Pakdasht,1225000000
462,96,2,1,1,1,Shahr-e-Ziba,3840000000
463,155,3,1,1,1,Heravi,8600000000
465,87,2,1,1,1,Gheitarieh,6264000000
467,105,2,1,1,1,Gheitarieh,6200000000
468,61,1,1,1,1,Shahran,1850000000
469,88,2,1,1,1,East Ferdows Boulevard,3700000000
470,101,2,1,1,1,West Ferdows Boulevard,3700000000
472,130,2,1,1,1,Southern Chitgar,3250000000
473,150,3,1,1,1,Karimkhan,7800000000
474,144,2,1,1,1,Railway,6600000000
475,91,2,1,1,1,Southern Janatabad,4500000000
476,68,2,1,1,1,West Ferdows Boulevard,2200000000
477,133,3,1,1,1,Rudhen,2260000000
478,71,2,1,1,1,Si Metri Ji,1633000000
479,64,1,1,1,1,Pardis,680000000
480,132,2,1,1,1,Rudhen,2244000000
481,95,2,1,1,1,Abazar,5600000000
482,95,2,1,1,1,Abazar,4500000000
483,102,2,1,1,1,Abazar,5200000000
484,120,2,1,1,1,Abazar,6250000000
485,117,3,1,1,1,East Ferdows Boulevard,4600000000
486,55,1,1,1,1,Karoon,1570000000
487,60,1,1,1,1,Northern Chitgar,295000000
488,85,2,1,1,1,Jeyhoon,1900000000
489,80,2,0,1,1,Jeyhoon,1750000000
490,54,1,1,1,1,Jeyhoon,1500000000
491,57,1,1,1,1,Feiz Garden,1880000000
492,101,2,1,0,1,Pirouzi,3130000000
493,65,2,1,1,0,Feiz Garden,1960000000
494,91,2,1,1,1,Punak,3230000000
495,105,2,1,1,1,Pardis,690000000
496,86,2,1,1,1,Central Janatabad,3480000000
498,87,2,1,1,1,Pardis,760000000
499,103,2,1,1,1,Shahran,3550000000
500,81,2,1,1,1,East Pars,2891700000
501,73,2,1,1,1,Feiz Garden,2600000000
502,90,2,1,1,1,Northern Chitgar,455000000
503,134,3,1,1,1,Andisheh,1600000000
505,51,1,1,1,0,Shahran,2020000000
506,108,2,1,1,0,Pardis,1300000000
507,86,2,1,1,1,Pardis,610000000
508,110,2,1,1,0,Pardis,1870000000
509,88,2,1,1,1,Pardis,740000000
510,85,2,1,1,1,Pardis,780000000
511,100,2,1,1,1,Pirouzi,3000000000
512,87,2,1,1,1,Pardis,715000000
514,91,2,1,1,1,Salsabil,2093000000
519,170,2,1,1,1,Kook,7140000000
520,89,2,1,1,1,Moniriyeh,2047000000
521,64,2,1,1,1,Saadat Abad,3200000000
522,89,2,1,1,1,Northern Janatabad,3100000000
523,135,3,1,1,1,Zaferanieh,11800000000
524,75,2,0,0,0,Air force,1650000000
525,105,2,1,1,1,Air force,3990000000
527,111,2,1,1,1,Saadat Abad,6800000000
528,133,3,1,1,1,Sohanak,7448000000
529,65,1,1,1,0,Saadat Abad,3250000000
530,65,1,0,1,1,Lavizan,2650000000
531,112,2,1,1,1,Gheitarieh,8200000000
532,147,3,1,1,1,Ekhtiarieh,8400000000
533,150,3,1,1,1,Saadat Abad,12000000000
534,67,1,1,1,1,Southern Janatabad,3450000000
536,66,2,1,1,1,Narmak,2510000000
537,75,2,1,1,0,Shahr-e-Ziba,1880000000
538,180,3,1,1,1,Aqdasieh,12600000000
539,103,2,1,1,1,Saadat Abad,5200000000
540,68,1,1,1,1,West Ferdows Boulevard,3570000000
541,115,2,1,1,1,Pasdaran,11000000000
542,115,2,1,1,1,Andisheh,1900000000
543,150,3,1,1,1,Narmak,8400000000
544,78,2,1,1,1,Qasr-od-Dasht,2000000000
545,100,2,1,1,1,Persian Gulf Martyrs Lake,1000000000
546,58,1,1,1,1,Punak,2650000000
547,90,2,1,1,1,Punak,4200000000
549,48,1,1,1,1,Punak,2250000000
550,70,2,1,1,1,Punak,2800000000
551,86,2,1,1,1,Punak,4200000000
553,88,2,1,1,1,Central Janatabad,3600000000
554,145,3,1,1,1,Qalandari,13000000000
555,64,2,1,1,0,Jeyhoon,1500000000
556,135,3,1,1,1,Saadat Abad,11475000000
557,50,1,0,1,0,Pirouzi,1260000000
558,87,2,1,1,1,Pardis,540000000
559,84,2,1,1,1,Pardis,550000000
561,137,3,1,1,1,Zaferanieh,10000000000
562,105,2,1,1,1,Velenjak,9500000000
563,145,2,1,1,1,Zaferanieh,11000000000
569,84,2,1,1,1,Pardis,540000000
572,80,2,1,1,0,Northern Janatabad,3250000000
574,125,2,1,1,1,Kamranieh,8700000000
575,65,2,1,1,1,Punak,2350000000
576,105,2,1,1,1,Southern Janatabad,5300000000
580,150,3,1,1,1,Pasdaran,13000000000
581,93,2,1,1,1,Central Janatabad,4650000000
582,110,2,1,1,1,Central Janatabad,4500000000
584,95,2,1,1,1,Saadat Abad,5700000000
585,128,3,1,1,1,Ekhtiarieh,8960000000
586,140,2,1,1,1,Saadat Abad,8400000000
587,86,2,1,1,1,Southern Janatabad,3200000000
588,70,2,1,1,1,Saadat Abad,3900000000
589,173,3,1,1,1,East Ferdows Boulevard,9515000000
590,72,2,1,1,1,Southern Janatabad,3150000000
591,73,2,1,1,1,Saadat Abad,3900000000
592,75,1,1,1,1,Central Janatabad,3200000000
593,67,2,1,1,1,West Ferdows Boulevard,2200000000
594,68,2,1,1,1,East Ferdows Boulevard,2700000000
595,88,2,1,1,1,Pardis,1900000000
596,111,2,1,1,1,Saadat Abad,5661000000
597,98,2,1,1,0,West Ferdows Boulevard,3750000000
598,62,2,1,1,1,West Ferdows Boulevard,2750000000
599,80,2,1,1,1,Central Janatabad,4240000000
602,162,3,1,1,1,Shahrake Gharb,12150000000
603,150,3,1,1,1,Ekhtiarieh,12000000000
604,82,2,1,1,1,Pardis,1100000000
605,130,3,1,1,1,Pasdaran,11100000000
606,76,2,1,1,1,Saadat Abad,4000000000
607,96,2,1,1,1,Shahrake Gharb,4800000000
609,135,3,1,0,1,Saadat Abad,8700000000
612,120,2,1,1,1,Shahrake Qods,1050000000
613,160,2,1,1,1,Pardis,2000000000
614,150,3,1,1,1,Gheitarieh,9000000000
615,51,1,0,1,1,Pirouzi,1300000000
616,75,1,1,1,1,Ekhtiarieh,3900000000
617,180,3,1,1,1,East Ferdows Boulevard,9900000000
618,93,2,1,1,1,Shahrake Qods,1181100000
619,84,2,1,1,1,Shahrake Qods,1150800000
620,92,2,0,1,1,Shahrake Qods,1012000000
621,105,2,1,1,1,Shahrake Qods,1365000000
622,67,2,1,1,0,Central Janatabad,2400000000
623,100,2,1,1,1,Ekhtiarieh,5500000000
624,170,3,1,1,1,Pasdaran,10800000000
625,162,3,1,1,1,Pasdaran,7600000000
626,43,1,1,1,1,Shahran,2080000000
627,150,3,1,1,1,Gheitarieh,12500000000
629,93,2,1,1,1,Northern Janatabad,4140000000
630,60,1,1,1,1,Persian Gulf Martyrs Lake,295000000
631,128,3,1,1,1,Gheitarieh,9300000000
632,87,2,1,1,1,Pardis,795000000
633,100,2,1,1,1,Heravi,5500000000
634,124,2,1,1,1,Heravi,7040000000
635,156,3,1,1,1,Abazar,9400000000
637,58,2,1,1,0,Central Janatabad,2080000000
638,88,2,1,1,1,Amirieh,2024000000
640,61,1,1,1,0,Central Janatabad,2180000000
643,87,2,1,1,1,Pardis,670000000
644,121,3,1,1,1,Pardis,630000000
645,105,2,1,1,1,Pardis,955000000
646,100,3,1,1,1,Pardis,500000000
647,105,2,1,1,1,Pardis,980000000
648,69,2,1,1,1,Shahr-e-Ziba,2050000000
649,115,2,1,1,1,Shahrake Gharb,13000000000
651,145,3,1,1,1,Heravi,7541000000
652,160,3,1,1,1,Velenjak,10700000000
654,145,3,1,1,1,Zaferanieh,11000000000
655,51,1,0,1,1,Pirouzi,1275000000
656,87,2,1,1,1,Pardis,490000000
657,116,2,1,1,1,Dehkade Olampic,4350000000
658,95,2,1,1,1,Jeyhoon,2280000000
659,75,2,1,1,1,Jeyhoon,2250000000
660,86,2,1,1,1,Komeil,1978000000
661,95,2,1,1,1,Punak,4200000000
663,88,2,1,1,1,Valiasr,2024000000
664,93,2,1,1,1,Amir Bahador,2139000000
665,70,2,1,1,1,Amirieh,1630000000
666,140,3,1,1,1,Saadat Abad,9800000000
667,81,2,1,1,1,Central Janatabad,4000000000
673,45,1,0,0,0,Ostad Moein,1200000000
674,58,1,1,1,0,Punak,1900000000
675,140,3,1,1,1,Dehkade Olampic,4400000000
676,100,2,1,1,1,Kook,3580000000
677,96,2,1,1,1,Azadshahr,3750000000
678,79,2,1,1,1,East Ferdows Boulevard,2850000000
679,125,3,1,1,1,Persian Gulf Martyrs Lake,3750000000
680,75,2,1,1,1,Northern Janatabad,3050000000
681,145,2,1,1,1,Azadshahr,4500000000
682,102,2,1,1,0,Railway,4520000000
683,115,2,1,1,1,Zibadasht,4350000000
684,140,3,1,1,1,Persian Gulf Martyrs Lake,8500000000
685,66,1,1,1,1,Punak,3300000000
686,161,3,1,1,1,Persian Gulf Martyrs Lake,8350000000
687,102,2,1,1,1,Persian Gulf Martyrs Lake,4500000000
688,145,4,1,1,1,Persian Gulf Martyrs Lake,5100000000
689,95,2,1,1,1,Shahr-e-Ziba,2970000000
690,78,2,1,1,1,Parand,460000000
691,90,2,1,1,1,East Ferdows Boulevard,3150000000
692,66,1,1,1,0,Ostad Moein,1090000000
693,48,1,1,1,1,Jeyhoon,810000000
694,85,2,1,1,1,Shahran,3200000000
695,63,1,1,1,1,Salsabil,2000000000
